Name,Required Materials,Price
Medicine,"1× Wasp Nest, 3× Clump of Weeds",100 Bells
Fish Bait,1× Manila Clam,200 Bells
Ocarina,5× Clay,"1,000 Bells"
Pan Flute,7× Young Spring Bamboo,"2,800 Bells"
Pitfall Seed,"4× Clump of Weeds, 6× Tree Branch",140 Bells
Bamboo Lattice Fence,6× Bamboo Piece,600 Bells
Barbed-Wire Fence,"4× Hardwood, 2× Iron","1,980 Bells"
Brick Fence,6× Clay,"1,200 Bells"
Bunny Day Fence,"1× Earth Egg, 1× Stone Egg, 1× Leaf Egg, 1× Wood Egg, 1× Sky Egg, 1× Water Egg","2,400 Bells"
Corral Fence,6× Wood,720 Bells
Country Fence,6× Hardwood,720 Bells
Imperial Fence,"6× Wood, 4× Softwood","1,200 Bells"
Iron-And-Stone Fence,"6× Stone, 3× Iron Nugget","3,150 Bells"
Iron Fencing,6× Iron Nuggets,"4,500 Bells"
Lattice Fence,8× Softwood,960 Bells
Rope Fence,4x Iron Nugget,"3,000 Bells"
Simple Wooden Fence,6× Softwood,72 Bells
Spiky Fence,8× Hardwood,960 Bells
Stone Fence,4× Stone,600 Bells
Straw Fence,"10× Clump of Weeds, 3× Wood",560 Bells
Vertical-Board Fence,8× Wood,960 Bells
Zen Fence,"3× Iron Nugget, 3× Clay, 3× Stone","3,300 Bells"
