Name,Required Materials,Price
Wooden-Knot Wall,15x Hardwood,
Garbage-Heap Wall,"2× Empty Can, 2× Boot, 2× Old Tire",120 Bells
Garbage-Heap Flooring,"2× Empty Can, 2× Boot, 2× Old Tire",120 Bells
Basement Flooring,10x Stone,
Stone Wall,10× Stone,"1,500 Bells"
Rustic-stone Wall,"5× Stone, 5× Clay","1,750 Bells"
Steel Flooring,7× Iron Nugget,"5,250 Bells"
Golden Flooring,4x Golden Nugget,
Woodland Wall,"15× Clump of Weeds, 9× Softwood",
Orange Rug,6× Oranges,
Cherry Rug,6× Cherry,
Cherry Wall,20× Cherry,
Peach Wall,20× Peach,
Pear Rug,6× Pear,
Pear Wall,20x Pear,
Apple Wall,20× Apples,"4,000 Bells"
Brown Herringbone Wall,15x Softwood,
Honeycomb Wall,6× Wasp Nest,
Honeycomb Flooring,5× Wasp Nest,"3,000 Bells"
Galaxy Flooring,"5× Star Fragment, 1× Large Star Fragment",
Dark Bamboo Rug,6x Bamboo piece,960 Bells
Bamboo Wall,15× Bamboo Piece,
Bamboo Flooring,15x Bamboo Piece,
Bamboo-Grove Wall,"7× Young Spring Bamboo, 3× Bamboo Shoot","4,300 Bells"
Light Bamboo Rug,6× Young Spring Bamboo,"2,400 Bells"
Cherry-Blossom-Trees Wall,"10x Cherry-Blossom Petal, 5x Hardwood","4,600 Bells"
Sakura-Wood Wall,"5× Cherry-blossom Petal, 10× Wood","3,200 Bells"
Cherry-Blossom Flooring,"10× Cherry-blossom Petal, 20× Clump of Weeds","4,400 Bells"
Sakura-Wood Flooring,"5× Cherry-blossom Petal, 10× Wood","3,200 Bells"
Bunny Day Wall,"2× Earth Egg, 2× Stone Egg, 2× Leaf Egg, 2× Wood Egg, 2× Sky Egg, 2× Water Egg","4,800 Bells"
Bunny Day Flooring,"2× Earth Egg, 2× Stone Egg, 2× Leaf Egg, 2× Wood Egg, 2× Sky Egg, 2× Water Egg","4,800 Bells"
Bunny Day Rug,"1× Earth Egg, 1× Stone Egg, 1× Leaf Egg, 1× Wood Egg, 1× Sky Egg, 1× Water Egg","2,400 Bells"
Money Flooring,"50,000 Bells",
Jungle Wall,"15× Clump of Weeds, 3× Wood, 3× Hardwood, 3× Softwood",
Jungle Flooring,"10× Clump of Weeds, 10× Clay",
Stacked-Wood Wall,15× Hardwood,
Sandy-Beach Flooring,"1× Sea snail, 1× Venus comb, 1× Sand dollar, 1× Coral, 1× Giant Clam, 1× Cowrie","4,120 Bells"
Modern Wood Wall,"5× Wood, 5× Softwood, 5× Hardwood",
Cabin Wall,15× Hardwood,
Manga-Library Wall,10× Magazine,
Shell Rug,3× Giant Clam,
Backyard Lawn,30× Clump of Weeds,600 Bells
Autumn Wall,"10x Maple Leaf, 5x Wood, 5x Clump of Weeds",
